b'Herm\xc3\xa8s Silk Tie',"b""Men's blue and gold Herm\xc3\xa8s printed silk tie."""
b'Herm\xc3\xa8s Tie',"b""Men's burgundy, blue and multicolor Herm\xc3\xa8s silk necktie with French Flag motif."""
b'Herm\xc3\xa8s Tie',"b""Men's red, sand and multicolor Herm\xc3\xa8s silk necktie with Egyptian motif."""
b'Herm\xc3\xa8s Tie',"b""Men's brown and blue silk Herm\xc3\xa8s tie with dolphin motif."""
b'Herm\xc3\xa8s Tie',"b""Men's beige Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's moss Herm\xc3\xa8s silk necktie with H motif."""
b'Herm\xc3\xa8s Tie',"b""Men's vermillion, saffron and multicolor Herm\xc3\xa8s silk necktie with geometric tribal motif."""
b'Herm\xc3\xa8s Tie',"b""Men's Blue and multicolor Herm\xc3\xa8s printed silk tie with logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow and multicolor Herm\xc3\xa8s printed silk tie with logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow and multicolor Herm\xc3\xa8s printed silk tie with logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's golden brown, red and blue Herm\xc3\xa8s silk necktie with camel motif."""
b'Herm\xc3\xa8s Silk Necktie',"b""Men's chocolate brown and pink Herm\xc3\xa8s silk necktie with abstract print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow, green and multicolor Herm\xc3\xa8s silk necktie with floral motif."""
b'Herm\xc3\xa8s Tie',"b""Men's brown and steel blue Herm\xc3\xa8s silk necktie with clover leaf motif."""
b'Herm\xc3\xa8s Tie',"b""Men's red, green and multicolor Herm\xc3\xa8s silk necktie with anchor motif."""
b'Herm\xc3\xa8s Tie',"b""Men's midnight blue Herm\xc3\xa8s woven silk necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's red, steel blue and multicolor Herm\xc3\xa8s silk necktie with boat motif."""
b'Herm\xc3\xa8s Tie',"b""Men's dark pink, steel blue and grey Herm\xc3\xa8s silk necktie with chain motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, pink and multicolor Herm\xc3\xa8s silk necktie with jockey motif."""
b'Herm\xc3\xa8s Tie',"b""Men's violet, tan and midnight blue Herm\xc3\xa8s silk necktie with kayak motif."""
b'Herm\xc3\xa8s Tie',"b""Men's light yellow Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's olive green Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's mustard Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's slate and brown Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's brown Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's red Herm\xc3\xa8s silk floral print necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's peach, tan and brown Herm\xc3\xa8s silk necktie with chain motif."""
b'Herm\xc3\xa8s Tie',"b""Men's moss, saffron and multicolor Herm\xc3\xa8s silk necktie with centaur and horseman motif."""
b'Herm\xc3\xa8s Tie',"b""Men's red and multicolor Herm\xc3\xa8s woven printed silk tie with ornate pattern throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's burgundy, orange and multicolor Herm\xc3\xa8s silk necktie with horse motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, red and multicolor Herm\xc3\xa8s silk necktie with lotus motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, green and multicolor Herm\xc3\xa8s silk necktie with floral motif."""
b'Herm\xc3\xa8s Tie',"b""Men's brown, blue and multicolor Herm\xc3\xa8s silk necktie with tulip motif."""
b'Herm\xc3\xa8s Tie',"b""Men's raspberry, bone and tan Herm\xc3\xa8s silk necktie with chain motif."""
b'Herm\xc3\xa8s Tie',"b""Men's brown, putty and orange Herm\xc3\xa8s silk necktie with boot motif."""
b'Herm\xc3\xa8s Tie',"b""Men's purple and multicolor Herm\xc3\xa8s silk printed tie."""
