b'Striped Woven Silk Tie',"b'<ul> <li>periwinkle and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'GG pattern tie.',"b'<ul> <li>black with beige GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG pattern tie.',"b'<ul> <li>light grey with grey GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'interlocking G pattern silk wool tie',"b'<ul> <li>dark grey with light grey</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Interlocking G Striped Woven Silk Tie',"b'<ul> <li>light blue and blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Interlocking G Striped Woven Silk Tie',"b'<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Striped Woven Silk Tie',"b'<ul> <li>dark blue and light blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Solid Woven Silk Tie',"b'<ul> <li>yellow</li> <li>100% silk</li> <li>3.1""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Solid Woven Silk Tie',"b'<ul> <li>black</li> <li>100% silk</li> <li>3.1""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Solid Woven Silk Tie',"b'<ul> <li>royal blue</li> <li>100% silk</li> <li>3.1""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'GG pattern tie with web detail.',"b'<ul> <li>grey</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG patterned silk twill tie',"b'<ul> <li>light blue and light brown</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Black Silk Cummerbund',b'<ul> <li>website exclusive</li> <li>black</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk</li> </ul>'
b'Bow Tie',b'<ul> <li>black</li> <li>handmade</li> <li>100% silk twill</li> </ul>'
b'Woven Linen Silk Bow Tie',b'<ul> <li>midnight blue</li> <li>55% linen and 45% silk</li> <li>Made in Italy</li> </ul>'
b'Cummerbund.',"b'<ul> <li>black</li> <li>handmade</li> <li>100% silk twill</li> <li>38""""L x 5""""H</li> </ul>'"
b'Cummerbund.',"b'<ul> <li>white</li> <li>handmade</li> <li>100% silk twill</li> <li>38""""L x 5""""H</li> </ul>'"
b'Bow Tie.',b'<ul> <li>website exclusive</li> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> </ul>'
b'Patterned Woven Silk Tie',"b'<ul> <li>brown and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Mini-Stripe Woven Silk Wool Tie',"b'<ul> <li>black and grey</li> <li>66% silk and 34% wool</li> <li>2.8""""W x 54.6""""L</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>dark blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'interlocking G woven silk tie',"b'<ul> <li>navy and blue</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> <li>100% silk</li> </ul>'"
b'Patterned Cotton Knit Tie',b'<ul> <li>black and grey</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>'
b'Patterned Woven Silk Tie',"b'<ul> <li>brown and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Original Print Habutai Silk Tie',"b'<ul> <li>off-white and grey</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>light brown and beige</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>navy blue and red</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Original Print Habutai Silk Tie',"b'<ul> <li>sapphire blue and light brown</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Habutai Silk Bow Tie',b'<ul> <li>ivory and peach</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'Printed Habutai Silk Tie',"b'<ul> <li>off-white and yellow</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Printed Habutai Silk Tie',"b'<ul> <li>royal blue and grey</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Cotton Knit Tie',b'<ul> <li>mahogany and beige</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>'
b'Striped Woven Silk Tie',"b'<ul> <li>light blue and dark grey</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Cotton Knit Tie',b'<ul> <li>black and bordeaux</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>'
b'Patterned Cotton Knit Tie',b'<ul> <li>midnight blue and white</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>'
b'Patterned Woven Silk Tie',"b'<ul> <li>light blue and blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>dark grey and ivory</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Woven Linen Silk Tie',"b'<ul> <li>light yellow</li> <li>55% linen and 45% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Woven Linen Silk Tie',"b'<ul> <li>ivory</li> <li>55% linen and 45% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Woven Linen Silk Tie',"b'<ul> <li>brown</li> <li>55% linen and 45% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Dressage Print Habutai Silk Tie',"b'<ul> <li>beige and white</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Knot Patterned Silk Twill Tie',"b'<ul> <li>midnight blue and red</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Knot Patterned Silk Twill Tie',"b'<ul> <li>petrol blue and light green</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Silk Twill Tie',"b'<ul> <li>orange and dark orange</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Silk Twill Tie',"b'<ul> <li>turquoise blue and sky blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'interlocking G pattern silk wool tie',"b'<ul> <li>light blue</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'GG pattern silk jacquard tie',"b'<ul> <li>pearl and grey</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
