,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,striped,material,cashmere
b'435',b'462481157',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/d8/cf/d8cf77a616f46c590ea5341e5aa79b6f_best.jpg',"b""Men's navy and multicolor Herm\xc3\xa8s silk tie with musician and mountain motif and logo at end.""",b'TheRealReal',b'unknown',b'_silk'
b'436',b'462481158',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/a1/19/a119677a34d6562b6a31af73fab05c35_best.jpg',"b""Men's navy and multicolor Herm\xc3\xa8s silk printed tie with logo at end.""",b'TheRealReal',b'_print',b'_silk'
b'437',b'461789639',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/e0/91/e0917bbeeca590b1202d44527a603adb_best.jpg',"b""Men's red and multicolor Herm\xc3\xa8s silk printed tie with logo at end.""",b'TheRealReal',b'_print',b'_silk'
b'438',b'461789812',b'75.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/c3/dc/c3dc3fb5d85d1f16ef6870664b9b2c6d_best.jpg',"b""Men's chocolate brown, periwinkle and saffron Herm\xc3\xa8s silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk'
b'440',b'461790060',b'75.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/c3/b5/c3b52bf0bcb94f04f61da9e4c50b0afd_best.jpg',"b""Men's taupe, blue and red Herm\xc3\xa8s silk necktie with horse motif throughout.""",b'TheRealReal',b'unknown',b'_silk'
b'441',b'460880693',b'100.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/6c/69/6c69151c26c5a98a4c4464296c37908e_best.jpg',"b""Men's white, black and pink Herm\xc3\xa8s silk tie with 'H' throughout and logo at end.""",b'TheRealReal',b'unknown',b'_silk'
b'445',b'462482157',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/ec/c8/ecc832e5507d3075455c560d157f26ff_best.jpg',"b""Men's salmon and multicolor Herm\xc3\xa8s silk tie with swirl motif and logo at end.""",b'TheRealReal',b'unknown',b'_silk'
b'448',b'462636747',b'125.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/90/da/90dab1bd2b2de7f58244854edab938e5_best.jpg',"b""Men's peach, burgundy and ivory Herm\xc3\xa8s silk necktie with stripes and layered H motif.""",b'TheRealReal',b'_striped',b'_silk'
b'449',b'464135891',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/7b/ad/7bad7330bb898e541ca45276a2a1f20b_best.jpg',"b""Men's green Herm\xc3\xa8s camel print necktie.""",b'TheRealReal',b'_print',b'unknown'
b'450',b'464135893',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/9e/60/9e60a616a49ddd1707244896de503bc3_best.jpg',"b""Men's mint green Herm\xc3\xa8s silk printed necktie.""",b'TheRealReal',b'_print',b'_silk'
b'451',b'464138187',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/01/37/0137e3443457a2201827f8890ac3a6e9_best.jpg',"b""Men's blue and multicolor Herm\xc3\xa8s woven printed silk tie with ornate pattern throughout.""",b'TheRealReal',b'_print',b'_silk'
b'454',b'464972701',b'60.0',b'Herm\xc3\xa8s Silk Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/85/a5/85a53efc9432d5adda709a063c68a37b_best.jpg',"b""Men's orange, brown and multicolor Herm\xc3\xa8s silk tie with floral motif.""",b'TheRealReal',b'unknown',b'_silk'
b'457',b'465078926',b'75.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/7d/3f/7d3f206d12606cb92b1f7efabdd90dcd_best.jpg',"b""Men's sand, tan and multicolor Herm\xc3\xa8s silk necktie with rabbit motif.""",b'TheRealReal',b'unknown',b'_silk'
b'466',b'444127316',b'124.19',b'Herm\xc3\xa8s Vintage patterned tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/1c/d3/1cd325b3c7676a0dcd30b1846c9396d5_best.jpg',b'Brown and yellow silk patterned tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a printed logo. This item is true to fit.',b'farfetch.com',b'_print',b'_silk'
b'873',b'462552739',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/ad/1e/ad1ed5bfd36d9a8a2113b10a8518c1f6_best.jpg',"b""Men's green, blue and purple Herm\xc3\xa8s silk necktie with stripes throughout.""",b'TheRealReal',b'_striped',b'_silk'
