,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'590',b'438325712',b'190.0',b'Horsebit Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7c/63/7c630acce7dc49998db573c1b00dd733_best.jpg',"b'<ul> <li>grey blue</li> <li>Made in Italy</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'591',b'355491697',b'200.0',b'GG pattern tie with web detail.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/d1/67/d16784c0920ba3bd699256e3ac4d26a0_best.jpg',"b'<ul> <li>sky blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'592',b'365408960',b'200.0',b'Solid Tie.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b3/cb/b3cb912c97b491dc076401306b16aae8_best.jpg',"b'<ul> <li>silver</li> <li>handmade</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'593',b'438325753',b'190.0',b'Multi-Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/cb/81/cb819baafc653ef52bd66f454988cf41_best.jpg',"b'<ul> <li>dark purple and pink</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> <li>100% silk</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'594',b'429772505',b'200.0',b'Patterned Silk Twill Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b5/22/b522fa904728d493b177f0ba47c0ae10_best.jpg',"b'<ul> <li>navy and blue</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'595',b'450711330',b'200.0',b'interlocking G pattern silk wool tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/98/4e/984edf9feab1cfe7f82a75a2a92615a2_best.jpg',"b'<ul> <li>light grey and grey</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_wool',b'False'
b'597',b'355490026',b'170.0',b'Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c1/8d/c18ddcae6c69671e92c4b28d4a4c7e15_best.jpg',b'<ul> <li>white</li> <li>handmade</li> <li>100% silk twill</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'598',b'424378945',b'200.0',b'light blue silk jacquard GG pattern tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/2e/7d/2e7d22a75fd256184f0716f347bbba46_best.jpg',"b'<ul> <li>light blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'599',b'424378958',b'200.0',b'GG pattern tie with web detail.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/d3/ed/d3ed67986da6b1290e67fd28b71ac0cb_best.jpg',"b'<ul> <li>beige and brown GG</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'610',b'450711555',b'200.0',b'GG horsebit pattern silk twill tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/00/7e/007e2a59583e068a262e06af256a426c_best.jpg',"b'<ul> <li>blue and light blue</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'679',b'450711368',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/9f/77/9f77d103e74f9e839df5f102221733f1_best.jpg',"b'<ul> <li>dark grey and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'680',b'462580433',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b6/f0/b6f02d93b71476583c7ea9ca355b7cbd_best.jpg',"b'<ul> <li>red and grey</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'681',b'462580442',b'170.0',b'Patterned Habutai Silk Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/14/29/1429b0bc5482252ca69a4047aeb24444_best.jpg',b'<ul> <li>midnight blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'682',b'462580517',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/a3/52/a352605ef66bc9ae4cb27273875ff1c6_best.jpg',"b'<ul> <li>dark brown and pink</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'683',b'462580781',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/6f/79/6f796538269129fe2717a77e332397f6_best.jpg',"b'<ul> <li>bordeaux and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'684',b'462581400',b'200.0',b'Patterned Silk Twill Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ae/77/ae77c2ba2e4fc8cd51c948b824ece751_best.jpg',"b'<ul> <li>sapphire and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'690',b'462580403',b'200.0',b'Spur Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/67/0e/670e84e45d7b07f611a21a11ef66f073_best.jpg',"b'<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
